"","reserve","plot_name","latitude","longitude"
"1","Big Creek","BC BURN G01 ",36.05120238,-121.5828167
"2","Big Creek","BC BURN G02 ",36.05132634,-121.5812378
"3","Big Creek","BC BURN G03 ",36.05249271,-121.5793168
"4","Big Creek","BC BURN G04 ",36.05386136,-121.5789277
"5","Big Creek","BC BURN G05",36.05534557,-121.5775865
"6","Big Creek","BC BURN R01 ",36.06083665,-121.5855786
"7","Big Creek","BC BURN R02 ",36.06090928,-121.5841377
"8","Big Creek","BC BURN R03 ",36.06340808,-121.5863759
"9","Big Creek","BC BURN R04",36.056912,-121.582527
"10","Big Creek","BC BURN R05 ",36.05663548,-121.5823427
"11","Big Creek","BC BURN S01 ",36.06479826,-121.5875833
"12","Big Creek","BC BURN S02 ",36.06299281,-121.5868828
"13","Big Creek","BC BURN S03 ",36.05980846,-121.585082
"14","Big Creek","BC BURN S04",36.059596,-121.584489
"15","Big Creek","BC BURN S05",36.060146,-121.582598
"16","Big Creek","BC UNBURN R01",36.07485,-121.5991853
"17","Big Creek","BC UNBURN R02   ",36.05719,-121.585715
"18","Big Creek","BC UNBURN R03",36.075244,-121.599425
"19","Big Creek","BC UNBURN S01 ",36.058298,-121.5846103
"20","Big Creek","BC UNBURN S02 ",36.05821725,-121.5860467
"21","Big Creek","BC UNBURN S03 ",36.05824573,-121.5852263
"22","Big Creek","BC UNBURN S04 ",36.05437743,-121.5832299
"23","Big Creek","BC UNBURN S05 ",36.05418641,-121.5833705
"24","Hastings","HT BURN C01 ",36.39029019,-121.5491306
"25","Hastings","HT BURN C02",36.39202457,-121.5488135
"26","Hastings","HT BURN C03 ",36.38973,-121.5510219
"27","Hastings","HT BURN C04 ",36.38447703,-121.541166
"28","Hastings","HT BURN C05 ",36.38460074,-121.5438043
"29","Hastings","HT BURN G01 ",36.39350166,-121.5476216
"30","Hastings","HT BURN G02 ",36.39362667,-121.5465606
"31","Hastings","HT BURN G03 ",36.39297723,-121.5492912
"32","Hastings","HT BURN G04 ",36.39095894,-121.5472224
"33","Hastings","HT BURN G05 ",36.38755936,-121.5513583
"34","Hastings","HT BURN O01 ",36.39523783,-121.5474775
"35","Hastings","HT BURN O02 ",36.39667386,-121.5496506
"36","Hastings","HT BURN O03 ",36.39417075,-121.5491098
"37","Hastings","HT BURN O04 ",36.39508552,-121.5503826
"38","Hastings","HT BURN O05 ",36.39231349,-121.5511621
"39","Hastings","HT UNBURN C01 ",36.3844645,-121.5491294
"40","Hastings","HT UNBURN C02",36.38550377,-121.5497238
"41","Hastings","HT UNBURN C03 ",36.38882657,-121.5496281
"42","Hastings","HT UNBURN C04 ",36.38392697,-121.5470214
"43","Hastings","HT UNBURN C05",36.38101695,-121.5415972
"44","Hastings","HT UNBURN G01 ",36.38296238,-121.5468294
"45","Hastings","HT UNBURN G02 ",36.3820876,-121.5458441
"46","Hastings","HT UNBURN G03 ",36.38537797,-121.5595681
"47","Hastings","HT UNBURN G04 ",36.38487328,-121.557399
"48","Hastings","HT UNBURN G05 ",36.38048155,-121.5442969
"49","Hastings","HT UNBURN O01 ",36.38155322,-121.5547097
"50","Hastings","HT UNBURN O02",36.38314658,-121.5552017
"51","Hastings","HT UNBURN O03 ",36.38507369,-121.5524399
"52","Hastings","HT UNBURN O04 ",36.38616883,-121.5490359
"53","Hastings","HT UNBURN O05 ",36.38226008,-121.5441213
"54","McLaughlin","ML BURN G01 ",38.86475632,-122.4284145
"55","McLaughlin","ML BURN G02 ",38.8644618,-122.4283308
"56","McLaughlin","ML BURN G03 ",38.83220191,-122.3399937
"57","McLaughlin","ML BURN G04 ",38.83665314,-122.3542054
"58","McLaughlin","ML BURN G05 ",38.83982524,-122.3552943
"59","McLaughlin","ML BURN O01 ",38.86385592,-122.4291117
"60","McLaughlin","ML BURN O02 ",38.86184064,-122.4296687
"61","McLaughlin","ML BURN O03 ",38.83272851,-122.3399581
"62","McLaughlin","ML BURN O04 ",38.8412485,-122.3556429
"63","McLaughlin","ML BURN O05 ",38.84174313,-122.3558245
"64","McLaughlin","ML UNBURN G01 ",38.87222384,-122.4202564
"65","McLaughlin","ML UNBURN G02 ",38.87258891,-122.4167525
"66","McLaughlin","ML UNBURN G03 ",38.87101422,-122.4301239
"67","McLaughlin","ML UNBURN G04 ",38.87163943,-122.4212221
"68","McLaughlin","ML UNBURN G05 ",38.8723301,-122.4216442
"69","McLaughlin","ML UNBURN O01 ",38.87087979,-122.4168968
"70","McLaughlin","ML UNBURN O02",38.87170755,-122.4289845
"71","McLaughlin","ML UNBURN O03 ",38.87019113,-122.4306712
"72","McLaughlin","ML UNBURN O04 ",38.87270839,-122.4221153
"73","McLaughlin","ML UNBURN O05 ",38.87217087,-122.4225325
"74","Quail Ridge","QR BURN C01",38.47745164,-122.1461466
"75","Quail Ridge","QR BURN C02 ",38.48262724,-122.1512787
"76","Quail Ridge","QR BURN C03 ",38.49045894,-122.1528351
"77","Quail Ridge","QR BURN C04",38.501565,-122.1544794
"78","Quail Ridge","QR BURN C05",38.51488725,-122.1555925
"79","Quail Ridge","QR BURN G01",38.4763712,-122.1426738
"80","Quail Ridge","QR BURN G02 ",38.48130732,-122.1450735
"81","Quail Ridge","QR BURN G03 ",38.49135722,-122.1530769
"82","Quail Ridge","QR BURN G04",38.49934993,-122.1503153
"83","Quail Ridge","QR BURN G05",38.51564193,-122.1518599
"84","Quail Ridge","QR BURN O01",38.47777065,-122.1462836
"85","Quail Ridge","QR BURN O02 ",38.48297493,-122.1512077
"86","Quail Ridge","QR BURN O03 ",38.49173805,-122.1532293
"87","Quail Ridge","QR BURN O04",38.50178022,-122.1551703
"88","Quail Ridge","QR BURN O05",38.51570621,-122.1549125
